"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Logout.tsx", "TypeScript JSX", 16, 0, 0, 0, 5, 21
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/NewItemForm.tsx", "TypeScript JSX", 35, 0, 0, 0, 3, 38
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Nodes/BaseNode.tsx", "TypeScript JSX", 39, 0, 0, 0, 10, 49
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Nodes/ButtonEdge.tsx", "TypeScript JSX", 65, 0, 0, 20, 10, 95
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Nodes/ConnectionLine.tsx", "TypeScript JSX", 25, 0, 0, 0, 3, 28
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Nodes/Handle.tsx", "TypeScript JSX", 76, 0, 0, 0, 26, 102
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Nodes/OperationNode.tsx", "TypeScript JSX", 14, 0, 0, 1, 4, 19
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Nodes/SourceNode.tsx", "TypeScript JSX", 13, 0, 0, 0, 3, 16
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Nodes/TargetNode.tsx", "TypeScript JSX", 13, 0, 0, 0, 2, 15
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Nodes/WindowNode.tsx", "TypeScript JSX", 8, 0, 0, 0, 3, 11
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Note.tsx", "TypeScript JSX", 77, 0, 0, 6, 17, 100
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/NoteButton.tsx", "TypeScript JSX", 14, 0, 0, 2, 5, 21
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Notes.tsx", "TypeScript JSX", 81, 0, 0, 4, 15, 100
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Operations/Exclusion.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 3
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Operations/Filter.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 3
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Operations/Intersection.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 3
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Operations/Union.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 3
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Roots/Dashboard.tsx", "TypeScript JSX", 223, 0, 0, 1, 42, 266
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Roots/Login.tsx", "TypeScript JSX", 109, 0, 0, 2, 27, 138
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Roots/Workspace.tsx", "TypeScript JSX", 22, 0, 0, 1, 6, 29
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Search.tsx", "TypeScript JSX", 62, 0, 0, 6, 12, 80
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Session.tsx", "TypeScript JSX", 79, 0, 0, 0, 5, 84
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Settings.tsx", "TypeScript JSX", 70, 0, 0, 3, 10, 83
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Sidebar/Accordion.tsx", "TypeScript JSX", 74, 0, 0, 0, 4, 78
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Sidebar/AccordionSection.jsx", "JavaScript JSX", 0, 0, 36, 0, 4, 40
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Sidebar/ClusterViewer.tsx", "TypeScript JSX", 48, 0, 0, 0, 5, 53
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Sidebar/DocViewer.tsx", "TypeScript JSX", 59, 0, 0, 0, 4, 63
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Sidebar/DrawerMini.tsx", "TypeScript JSX", 79, 0, 0, 2, 9, 90
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Sidebar/GroupViewer.tsx", "TypeScript JSX", 75, 0, 0, 5, 3, 83
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Sidebar/NotesViewer.tsx", "TypeScript JSX", 42, 0, 0, 0, 4, 46
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Sidebar/SelectionViewer.tsx", "TypeScript JSX", 61, 0, 0, 0, 3, 64
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Sidebar/TeleoscopeViewer.tsx", "TypeScript JSX", 43, 0, 0, 5, 6, 54
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Sidebar/WorkflowViewer.tsx", "TypeScript JSX", 115, 0, 0, 0, 23, 138
